"plant_line","strain_ID","count_shoot","mean_shoot","SE_shoot"
"A17","121",10,0.2383,0.0407512917314013
"A17","141",10,0.208,0.0276807193227023
"A17","144B",10,0.285555555555556,0.0312694383988229
"A17","176A",10,0.23292,0.0389825282801297
"A17","182",10,0.22889,0.038611007210092
"A17","199",10,0.24,0.0294014360949333
"A17","204",10,0.3,0.0399722125704567
"A17","206",10,0.2076,0.025629496895396
"A17","216",10,0.2506,0.0194114513739814
"A17","230",10,0.180233333333333,0.0357310649155605
"A17","25B",10,0.2378,0.0413273651605218
"A17","278",10,0.227,0.0219114379060597
"A17","282",10,0.2001,0.0251353889521881
"A17","283",10,0.280333333333333,0.0389082253514601
"A17","31",10,0.2835,0.0318132946153918
"A17","335",10,0.143744444444444,0.0225571779657336
"A17","724B",10,0.233333333333333,0.016431676725155
"A17","746B",10,0.261111111111111,0.0258091284453991
"A17","748B",10,0.2154,0.0337076318427214
"A17","89",10,0.257777777777778,0.0280079353834667
"DZA","121",10,0.28375,0.0194155681275178
"DZA","141",10,0.437,0.0472358150371328
"DZA","144B",10,0.358,0.0373511862075505
"DZA","176A",10,0.345,0.0285676584814211
"DZA","182",10,0.357,0.0262488094968134
"DZA","199",10,0.3368,0.0410638527174448
"DZA","204",10,0.39978,0.0582065628220354
"DZA","206",10,0.3396,0.0467587662606941
"DZA","216",10,0.2561,0.0449148453557767
"DZA","230",10,0.2078,0.0262372932208251
"DZA","25B",10,0.09876,0.0289430060636417
"DZA","278",10,0.3281,0.0641912853206034
"DZA","282",10,0.25387,0.0575152657030191
"DZA","283",10,0.338,0.0324139887497152
"DZA","31",10,0.1213,0.01432173949708
"DZA","335",10,0.1562,0.0246079481288284
"DZA","724B",10,0.13029,0.0268988163721421
"DZA","746B",10,0.06102,0.00903649145286918
"DZA","748B",10,0.1034,0.01112874156807
"DZA","89",10,0.308,0.0300296150121472
