"group","stat","cat","pvals.all","pvals.GWAS","pvals.sig","mean","sig"
"Pi_positive","Pi","positive",0.839,0.996,0.999,2.32520253513365,"NS"
"Pi_antagonistic","Pi","antagonistic",0.004,0.4,0.886,2.83836545475175,"NS"
"Pi_alignment","Pi","alignment",0,0.001,0.039,3.60271353614781,"sig"
"Pi_conflict","Pi","conflict",0.379,0.896,0.98,2.45849702791009,"NS"
"Pi_sig","Pi","sig",0,NA,NA,2.43037231268676,NA
"Pi_GWAS","Pi","GWAS",0,NA,NA,2.06855812916869,NA
"Tajima.D_positive","Tajima.D","positive",0.92,0.857,0.821,0.686253440804211,"NS"
"Tajima.D_antagonistic","Tajima.D","antagonistic",0.99,0.971,0.944,1.05565590713754,"NS"
"Tajima.D_alignment","Tajima.D","alignment",0.533,0.643,0.756,1.36482702665419,"NS"
"Tajima.D_conflict","Tajima.D","conflict",0.975,0.97,0.94,0.933223345192079,"NS"
"Tajima.D_sig","Tajima.D","sig",0.332,NA,NA,1.18413115937209,NA
"Tajima.D_GWAS","Tajima.D","GWAS",0.531,NA,NA,1.14826092504076,NA
"Fu.Li.F_positive","Fu.Li.F","positive",0.977,0.982,0.962,1.19086154108586,"NS"
"Fu.Li.F_antagonistic","Fu.Li.F","antagonistic",0.622,0.893,0.996,1.39892286051087,"NS"
"Fu.Li.F_alignment","Fu.Li.F","alignment",0.001,0.002,0.053,1.64153175747399,"sig"
"Fu.Li.F_conflict","Fu.Li.F","conflict",0.912,0.975,0.991,1.35623773778778,"NS"
"Fu.Li.F_sig","Fu.Li.F","sig",0,NA,NA,1.39359118245975,NA
"Fu.Li.F_GWAS","Fu.Li.F","GWAS",0.004,NA,NA,1.30238067324976,NA
"Fu.Li.D_positive","Fu.Li.D","positive",0.943,0.993,1,1.17999315313536,"NS"
"Fu.Li.D_antagonistic","Fu.Li.D","antagonistic",0.035,0.109,0.851,1.24472567997263,"NS"
"Fu.Li.D_alignment","Fu.Li.D","alignment",0,0,0.003,1.38811406842205,"sig"
"Fu.Li.D_conflict","Fu.Li.D","conflict",0.551,0.667,0.952,1.2576298728133,"NS"
"Fu.Li.D_sig","Fu.Li.D","sig",0,NA,NA,1.16449046523582,NA
"Fu.Li.D_GWAS","Fu.Li.D","GWAS",0,NA,NA,1.06841996997688,NA
